customer_id,order_id,order_date,category,channel,units,gross_sales,discount_rate,net_sales,returned
C00004,C00004-O008,2025-10-31,Home,Store,1,54.23,0.1664,45.21,0
C00004,C00004-O003,2025-12-02,Grocery,Online,4,66.63,0.3446,43.67,0
C00004,C00004-O009,2026-01-06,Electronics,Online,1,97.31,0.572,41.65,0
C00005,C00005-O009,2025-06-30,Electronics,Store,5,214.99,0.1268,187.73,0
C00005,C00005-O004,2025-08-25,Home,Store,3,236.96,0.1055,211.97,0
C00005,C00005-O007,2025-09-01,Home,Online,4,266.54,0.0944,241.37,0
C00005,C00005-O018,2025-09-02,Electronics,Store,1,151.71,0.2139,119.26,0
C00005,C00005-O001,2025-10-12,Fashion,Online,2,115.05,0.0545,108.77,0
C00005,C00005-O010,2025-10-20,Electronics,Store,1,196.1,0.0978,176.92,0
C00005,C00005-O002,2025-11-08,Beauty,Store,1,208.69,0.0745,193.15,0
C00005,C00005-O011,2025-12-05,Electronics,Online,3,186.87,0.1923,150.93,0
C00005,C00005-O013,2025-12-06,Home,Store,2,135.93,0.0456,129.73,0
C00005,C00005-O020,2025-12-23,Fashion,Store,4,122.24,0.277,88.38,0
C00005,C00005-O008,2025-12-24,Fashion,Online,1,116.55,0.0643,109.06,0
C00005,C00005-O012,2025-12-28,Home,Online,2,99.91,0.2316,76.77,0
C00005,C00005-O003,2026-01-07,Sports,Store,3,172.44,0.0548,162.98,1
C00005,C00005-O005,2026-01-07,Beauty,Store,3,154.89,0.1516,131.41,0
C00005,C00005-O014,2026-01-08,Home,Online,3,200.52,0.0951,181.45,0
C00005,C00005-O016,2026-01-13,Beauty,Online,2,329.2,0.2658,241.7,0
C00005,C00005-O019,2026-01-18,Fashion,Online,1,228.71,0.2298,176.16,0
C00005,C00005-O015,2026-02-13,Fashion,Online,4,208.58,0.0474,198.69,0
C00005,C00005-O006,2026-02-25,Home,Online,2,169.18,0.0463,161.35,0
C00005,C00005-O017,2026-02-28,Home,Store,3,232.69,0.0627,218.1,0
C00005,C00005-O021,2026-03-14,Sports,Online,3,177.69,0.1926,143.47,0
C00006,C00006-O001,2025-04-05,Home,Store,2,65.46,0.1879,53.16,0
C00006,C00006-O002,2025-04-25,Sports,Online,3,72.82,0.2256,56.39,0
C00006,C00006-O003,2025-05-23,Home,Online,3,51.62,0.2629,38.04,0
C00007,C00007-O003,2025-08-02,Fashion,Store,2,83.53,0.421,48.36,0
C00007,C00007-O004,2025-08-14,Beauty,Online,2,56.73,0.599,22.74,0
C00007,C00007-O005,2025-09-14,Beauty,Online,2,44.85,0.2662,32.91,1
C00007,C00007-O002,2025-09-20,Sports,Store,5,103.28,0.5366,47.86,0
C00007,C00007-O001,2025-10-10,Home,Online,1,74.44,0.3455,48.73,1
C00007,C00007-O006,2026-02-22,Sports,Online,3,124.0,0.3607,79.27,0
C00008,C00008-O003,2025-05-15,Home,Online,1,71.12,0.48,36.98,0
C00008,C00008-O001,2025-08-22,Sports,Online,2,89.09,0.3297,59.72,0
C00008,C00008-O002,2025-09-06,Beauty,Online,1,75.04,0.5129,36.55,1
C00008,C00008-O005,2025-09-27,Home,Online,6,102.88,0.5967,41.5,0
C00008,C00008-O004,2025-12-20,Home,Online,4,131.98,0.5272,62.41,0
C00008,C00008-O006,2026-01-11,Fashion,Online,3,49.56,0.3424,32.59,0
C00009,C00009-O009,2025-07-06,Fashion,Online,5,148.26,0.0544,140.2,1
C00009,C00009-O011,2025-08-15,Electronics,Online,1,132.83,0.1204,116.83,0
C00009,C00009-O008,2025-09-28,Fashion,Online,1,174.61,0.0611,163.95,0
C00009,C00009-O014,2025-10-01,Beauty,Store,1,91.08,0.0259,88.72,0
C00009,C00009-O017,2025-10-15,Beauty,Store,1,136.53,0.0349,131.76,0
C00009,C00009-O003,2025-10-20,Home,Store,2,170.6,0.0334,164.89,0
C00009,C00009-O013,2025-11-09,Fashion,Store,1,168.36,0.0993,151.63,0
C00009,C00009-O006,2025-11-10,Electronics,Online,1,142.3,0.3158,97.36,0
C00009,C00009-O015,2025-11-15,Home,Store,3,166.89,0.1205,146.79,0
C00009,C00009-O016,2025-12-13,Electronics,Online,3,159.29,0.0928,144.5,0
C00009,C00009-O012,2025-12-14,Electronics,Store,3,149.84,0.1916,121.13,0
C00009,C00009-O004,2025-12-15,Electronics,Online,1,280.61,0.1489,238.84,1
C00009,C00009-O010,2025-12-22,Home,Online,2,147.14,0.0753,136.06,0
C00009,C00009-O001,2025-12-27,Fashion,Online,3,141.34,0.0304,137.04,0
C00009,C00009-O002,2025-12-27,Home,Online,5,109.54,0.0969,98.93,0
C00009,C00009-O005,2026-01-18,Sports,Store,2,205.12,0.0974,185.15,0
C00009,C00009-O007,2026-03-07,Home,Store,5,234.99,0.012,232.16,0
C00009,C00009-O018,2026-03-17,Fashion,Online,1,193.67,0.0928,175.7,0
C00010,C00010-O001,2025-04-29,Electronics,Store,1,107.81,0.2589,79.89,0
C00010,C00010-O002,2025-06-29,Home,Store,5,105.09,0.1324,91.18,0
C00010,C00010-O003,2025-07-06,Electronics,Online,1,210.97,0.1209,185.47,0
C00010,C00010-O004,2025-11-20,Beauty,Store,4,163.88,0.0615,153.8,0
C00011,C00011-O009,2025-05-08,Electronics,Online,1,82.52,0.1156,72.98,0
C00011,C00011-O011,2025-07-22,Grocery,Store,1,117.18,0.3276,78.79,0
C00011,C00011-O004,2025-08-12,Home,Online,3,181.14,0.2202,141.26,0
C00011,C00011-O008,2025-08-30,Electronics,Online,1,159.37,0.1854,129.83,0
C00011,C00011-O002,2025-09-17,Fashion,Store,1,86.01,0.0699,80.0,0
C00011,C00011-O010,2025-10-15,Fashion,Online,2,220.66,0.2442,166.78,1
C00011,C00011-O006,2025-11-04,Grocery,Store,1,116.12,0.4232,66.97,0
C00011,C00011-O003,2025-11-27,Beauty,Online,1,85.54,0.2345,65.48,0
C00011,C00011-O013,2025-12-17,Beauty,Online,3,91.34,0.1323,79.26,0
C00011,C00011-O005,2025-12-28,Sports,Online,1,108.09,0.0958,97.73,0
C00011,C00011-O007,2025-12-30,Home,Online,2,139.53,0.499,69.91,0
C00011,C00011-O012,2026-01-15,Beauty,Online,1,107.86,0.2552,80.34,0
C00011,C00011-O001,2026-02-10,Beauty,Online,4,52.57,0.081,48.31,0
C00011,C00011-O014,2026-02-24,Fashion,Online,2,223.93,0.2186,174.99,0
C00012,C00012-O003,2025-04-19,Home,Online,3,33.48,0.3403,22.09,0
C00012,C00012-O004,2025-04-20,Electronics,Store,11,63.48,0.2318,48.76,0
C00012,C00012-O001,2025-04-28,Beauty,Store,1,53.6,0.1954,43.13,0
C00012,C00012-O002,2025-06-19,Home,Store,1,40.8,0.2699,29.79,0
C00012,C00012-O005,2025-10-23,Sports,Online,1,62.27,0.3037,43.36,1
C00013,C00013-O003,2025-06-09,Electronics,Online,2,91.89,0.5519,41.18,0
C00013,C00013-O004,2025-07-07,Fashion,Store,2,67.97,0.4663,36.28,0
C00013,C00013-O005,2025-07-12,Fashion,Online,4,46.06,0.5965,18.58,0
C00013,C00013-O002,2025-07-18,Fashion,Online,4,98.71,0.2695,72.11,0
C00013,C00013-O007,2025-09-01,Fashion,Online,5,65.42,0.4745,34.38,0
C00013,C00013-O006,2025-11-02,Beauty,Online,3,68.85,0.3044,47.89,0
C00013,C00013-O001,2026-02-13,Fashion,Store,1,70.87,0.65,24.81,0
C00013,C00013-O008,2026-02-27,Beauty,Online,2,109.37,0.589,44.95,0
C00014,C00014-O002,2025-06-27,Home,Store,2,59.18,0.1923,47.8,0
C00014,C00014-O003,2025-07-01,Sports,Online,4,46.24,0.5139,22.48,0
C00014,C00014-O001,2025-07-03,Beauty,Store,4,52.61,0.05,49.98,0
C00014,C00014-O004,2025-07-23,Grocery,Store,4,40.72,0.3567,26.19,1
C00015,C00015-O009,2025-04-04,Grocery,Online,2,244.81,0.2789,176.53,0
C00015,C00015-O013,2025-04-12,Electronics,Online,3,181.28,0.1677,150.88,1
C00015,C00015-O003,2025-04-13,Electronics,Online,4,295.54,0.1035,264.94,0
C00015,C00015-O005,2025-04-17,Home,Store,3,117.81,0.0972,106.36,0
C00015,C00015-O010,2025-05-07,Electronics,Store,1,122.71,0.2015,97.98,0
C00015,C00015-O008,2025-05-15,Sports,Store,1,118.17,0.1203,103.96,0
C00015,C00015-O007,2025-05-17,Home,Store,2,295.69,0.4265,169.57,1
C00015,C00015-O001,2025-05-19,Home,Store,2,320.08,0.1283,279.01,0
C00015,C00015-O004,2025-06-04,Electronics,Online,2,99.4,0.2398,75.57,0
C00015,C00015-O011,2025-06-05,Home,Online,6,206.54,0.2414,156.69,0
C00015,C00015-O002,2025-06-15,Electronics,Online,1,304.5,0.0857,278.42,1
C00015,C00015-O012,2025-07-05,Home,Online,2,246.42,0.186,200.58,0
C00015,C00015-O006,2025-08-18,Electronics,Online,2,146.03,0.3222,98.97,0
C00015,C00015-O014,2025-11-24,Grocery,Online,2,251.91,0.223,195.74,0
C00016,C00016-O010,2025-07-14,Electronics,Store,2,102.3,0.216,80.2,0
C00016,C00016-O007,2025-09-05,Sports,Store,1,111.2,0.2407,84.43,0
C00016,C00016-O003,2025-10-28,Fashion,Online,3,70.36,0.123,61.71,0
C00016,C00016-O001,2025-11-07,Beauty,Online,5,205.81,0.3224,139.45,0
C00016,C00016-O008,2025-11-19,Beauty,Online,5,81.15,0.1191,71.49,0
C00016,C00016-O002,2025-11-20,Grocery,Online,2,109.51,0.1232,96.02,0
C00016,C00016-O009,2025-12-05,Electronics,Online,1,223.04,0.1047,199.7,0
C00016,C00016-O005,2025-12-25,Fashion,Store,3,116.69,0.1373,100.67,0
C00016,C00016-O006,2026-02-10,Fashion,Online,4,121.82,0.3435,79.97,0
C00016,C00016-O004,2026-03-13,Beauty,Online,3,193.25,0.2176,151.2,0
C00016,C00016-O011,2026-03-18,Grocery,Online,4,150.39,0.4273,86.12,0
C00017,C00017-O004,2025-04-10,Home,Store,1,229.52,0.0493,218.2,0
C00017,C00017-O001,2025-04-15,Grocery,Online,1,325.48,0.1826,266.05,0
C00017,C00017-O002,2025-04-18,Home,Store,2,174.83,0.1945,140.82,0
C00017,C00017-O007,2025-04-30,Electronics,Online,4,224.11,0.2569,166.54,0
C00017,C00017-O006,2025-05-09,Electronics,Store,3,255.06,0.5608,112.03,0
C00017,C00017-O003,2025-06-01,Electronics,Store,5,127.13,0.0872,116.05,0
C00017,C00017-O005,2025-06-02,Home,Online,6,327.82,0.106,293.07,0
C00017,C00017-O008,2025-10-04,Electronics,Store,2,176.94,0.3576,113.67,0
C00018,C00018-O008,2025-08-12,Electronics,Online,1,121.3,0.2745,88.0,0
C00018,C00018-O003,2025-08-21,Sports,Store,1,217.58,0.0348,210.01,0
C00018,C00018-O004,2025-09-13,Fashion,Store,2,184.08,0.186,149.85,0
C00018,C00018-O001,2025-09-28,Sports,Store,3,173.84,0.1256,152.0,0
C00018,C00018-O005,2025-12-16,Fashion,Store,1,134.13,0.0898,122.1,0
C00018,C00018-O006,2025-12-18,Sports,Online,2,106.69,0.1159,94.32,0
C00018,C00018-O002,2026-01-09,Sports,Store,4,191.22,0.1129,169.64,1
C00018,C00018-O007,2026-02-20,Electronics,Store,3,170.2,0.2382,129.66,0
C00018,C00018-O009,2026-03-21,Sports,Online,4,154.54,0.2217,120.29,0
C00019,C00019-O002,2025-04-07,Home,Online,1,51.54,0.3393,34.05,1
C00019,C00019-O003,2025-04-27,Home,Store,2,69.84,0.3747,43.67,0
C00019,C00019-O001,2025-05-07,Grocery,Online,1,127.47,0.1416,109.42,0
C00019,C00019-O004,2025-09-01,Grocery,Store,1,73.54,0.4513,40.35,0
C00020,C00020-O001,2025-06-19,Fashion,Store,2,74.39,0.6179,28.43,0
C00020,C00020-O008,2025-06-24,Beauty,Store,1,49.44,0.3294,33.15,0
C00020,C00020-O010,2025-07-13,Home,Store,2,46.65,0.4906,23.77,0
C00020,C00020-O002,2025-08-22,Beauty,Online,2,61.65,0.65,21.58,0
C00020,C00020-O003,2025-08-28,Beauty,Online,3,54.17,0.4705,28.68,0
C00020,C00020-O004,2025-09-19,Electronics,Online,1,103.3,0.5661,44.82,0
C00020,C00020-O005,2025-10-06,Beauty,Online,1,64.62,0.4316,36.73,0
C00020,C00020-O009,2025-10-11,Home,Online,3,73.44,0.5085,36.09,0
C00020,C00020-O006,2025-10-25,Beauty,Online,1,163.03,0.4548,88.88,0
C00020,C00020-O007,2025-10-25,Sports,Online,6,100.74,0.2654,74.0,0
C00020,C00020-O011,2026-02-16,Beauty,Online,3,52.02,0.6185,19.84,0
C00021,C00021-O006,2025-04-21,Sports,Online,1,128.28,0.4891,65.54,0
C00021,C00021-O004,2025-07-25,Home,Online,3,98.34,0.6103,38.32,0
C00021,C00021-O001,2025-07-30,Grocery,Online,5,100.83,0.3217,68.39,0
C00021,C00021-O008,2025-08-17,Grocery,Online,2,63.09,0.4369,35.52,0
C00021,C00021-O002,2025-08-19,Fashion,Store,4,97.39,0.5422,44.58,1
C00021,C00021-O009,2025-08-22,Home,Online,1,68.96,0.65,24.14,0
C00021,C00021-O005,2025-09-12,Beauty,Online,4,70.54,0.209,55.8,0
C00021,C00021-O007,2025-10-05,Beauty,Online,2,148.43,0.4836,76.65,0
C00021,C00021-O003,2025-10-10,Home,Online,2,108.13,0.2344,82.78,0
C00021,C00021-O010,2025-12-26,Beauty,Store,5,82.76,0.3865,50.77,0
C00022,C00022-O008,2025-06-28,Home,Online,3,168.73,0.1237,147.85,0
C00022,C00022-O004,2025-07-05,Fashion,Online,2,100.01,0.052,94.81,0
C00022,C00022-O006,2025-08-12,Electronics,Online,2,199.88,0.4661,106.72,0
C00022,C00022-O009,2025-08-25,Home,Online,3,92.11,0.3364,61.13,0
C00022,C00022-O007,2025-08-28,Beauty,Online,4,128.83,0.1945,103.78,0
C00022,C00022-O011,2025-10-15,Home,Store,2,148.31,0.0636,138.88,0
C00022,C00022-O005,2025-10-16,Beauty,Store,3,167.18,0.3588,107.19,0
C00022,C00022-O013,2025-11-16,Electronics,Online,4,221.4,0.0336,213.95,1
C00022,C00022-O002,2025-11-29,Fashion,Online,4,115.54,0.2719,84.12,0
C00022,C00022-O012,2025-12-04,Beauty,Online,3,128.33,0.1962,103.14,0
C00022,C00022-O010,2025-12-18,Beauty,Online,1,157.05,0.3756,98.07,0
C00022,C00022-O014,2026-01-13,Beauty,Online,4,108.55,0.0871,99.1,0
C00022,C00022-O001,2026-02-12,Beauty,Online,4,149.17,0.2622,110.05,1
C00022,C00022-O003,2026-02-14,Fashion,Online,6,98.3,0.4342,55.62,0
C00022,C00022-O015,2026-03-20,Home,Online,3,88.63,0.0793,81.6,0
C00023,C00023-O001,2025-09-25,Electronics,Online,1,131.04,0.3269,88.21,0
C00023,C00023-O002,2025-10-01,Home,Store,4,77.77,0.2557,57.89,0
C00024,C00024-O002,2025-08-28,Home,Online,5,48.66,0.3793,30.21,0
C00024,C00024-O001,2025-09-02,Grocery,Store,2,41.27,0.1684,34.33,0
C00024,C00024-O003,2025-09-28,Beauty,Online,3,40.75,0.3446,26.7,0
C00025,C00025-O008,2025-06-27,Home,Online,3,88.9,0.4113,52.34,0
C00025,C00025-O006,2025-07-19,Beauty,Online,1,69.96,0.4491,38.54,0
C00025,C00025-O009,2025-09-18,Sports,Online,3,58.08,0.5115,28.38,1
C00025,C00025-O007,2025-09-24,Grocery,Online,5,95.97,0.4791,49.99,0
C00025,C00025-O010,2025-09-24,Home,Store,1,78.0,0.2779,56.33,0
C00025,C00025-O005,2025-09-26,Sports,Store,1,79.64,0.2974,55.95,0
C00025,C00025-O001,2025-10-16,Electronics,Online,1,86.55,0.3075,59.94,0
C00025,C00025-O004,2025-10-30,Grocery,Online,3,100.42,0.3678,63.49,0
C00025,C00025-O002,2025-11-06,Home,Online,4,125.03,0.6101,48.75,1
C00025,C00025-O003,2025-11-28,Fashion,Store,3,85.13,0.5159,41.22,1
C00025,C00025-O011,2026-01-31,Grocery,Online,1,138.74,0.3854,85.27,0
C00026,C00026-O004,2025-08-05,Home,Store,1,139.93,0.1454,119.58,0
C00026,C00026-O008,2025-08-15,Beauty,Online,4,77.62,0.1207,68.25,0
C00026,C00026-O014,2025-09-04,Fashion,Online,4,106.17,0.2548,79.11,0
C00026,C00026-O003,2025-09-12,Beauty,Online,2,58.07,0.3002,40.64,0
C00026,C00026-O001,2025-09-13,Sports,Store,2,131.77,0.0693,122.64,0
C00026,C00026-O010,2025-10-15,Electronics,Online,2,74.91,0.0721,69.51,0
C00026,C00026-O011,2025-10-19,Sports,Online,4,99.7,0.3104,68.75,0
C00026,C00026-O013,2025-10-26,Home,Online,3,104.77,0.4299,59.73,0
C00026,C00026-O009,2025-11-01,Beauty,Online,4,170.71,0.4463,94.52,0
C00026,C00026-O006,2026-01-01,Fashion,Online,3,114.81,0.2463,86.54,0
C00026,C00026-O012,2026-01-02,Electronics,Online,1,266.18,0.2921,188.42,0
C00026,C00026-O002,2026-01-20,Sports,Online,1,191.44,0.2749,138.82,0
C00026,C00026-O005,2026-01-21,Home,Online,1,100.83,0.2019,80.47,0
C00026,C00026-O007,2026-02-17,Beauty,Online,1,76.38,0.3228,51.73,0
C00026,C00026-O015,2026-03-13,Sports,Online,1,160.67,0.0385,154.49,0
C00027,C00027-O012,2025-04-04,Beauty,Store,1,176.44,0.1472,150.46,0
C00027,C00027-O008,2025-04-07,Fashion,Online,4,276.9,0.2168,216.86,0
C00027,C00027-O016,2025-04-12,Home,Store,3,187.11,0.3158,128.01,0
C00027,C00027-O002,2025-04-25,Electronics,Store,3,188.81,0.137,162.95,0
C00027,C00027-O014,2025-04-25,Sports,Online,3,262.41,0.3828,161.95,0
C00027,C00027-O011,2025-04-30,Electronics,Store,1,257.85,0.2424,195.35,0
C00027,C00027-O004,2025-05-08,Electronics,Store,3,180.46,0.1775,148.43,0
C00027,C00027-O007,2025-05-09,Grocery,Store,6,212.54,0.3556,136.97,0
C00027,C00027-O010,2025-05-13,Home,Store,3,163.38,0.2012,130.51,1
C00027,C00027-O005,2025-05-25,Home,Online,7,232.89,0.065,217.74,1
C00027,C00027-O009,2025-05-29,Electronics,Online,2,166.93,0.3112,114.97,0
C00027,C00027-O003,2025-06-08,Fashion,Store,4,124.34,0.3609,79.46,0
C00027,C00027-O006,2025-06-10,Sports,Online,4,309.58,0.2294,238.57,0
C00027,C00027-O015,2025-06-14,Home,Store,7,209.85,0.377,130.73,0
C00027,C00027-O013,2025-06-19,Electronics,Store,3,258.8,0.2266,200.15,0
C00027,C00027-O001,2025-06-28,Electronics,Store,1,195.77,0.2292,150.91,0
C00027,C00027-O017,2025-11-21,Sports,Store,3,206.81,0.2114,163.08,0
C00028,C00028-O008,2025-05-31,Fashion,Online,2,224.1,0.0503,212.82,0
C00028,C00028-O013,2025-06-10,Home,Store,6,259.8,0.0578,244.78,0
C00028,C00028-O009,2025-07-05,Electronics,Store,1,152.48,0.01,150.95,0
C00028,C00028-O011,2025-07-30,Sports,Store,2,245.44,0.1552,207.35,0
C00028,C00028-O018,2025-07-31,Fashion,Online,3,170.83,0.01,169.12,0
C00028,C00028-O012,2025-08-28,Grocery,Store,2,227.6,0.0735,210.88,1
C00028,C00028-O001,2025-09-15,Electronics,Online,2,118.19,0.1459,100.95,1
C00028,C00028-O010,2025-09-22,Fashion,Online,3,135.43,0.0565,127.78,0
C00028,C00028-O017,2025-10-06,Electronics,Online,3,208.76,0.0556,197.14,0
C00028,C00028-O004,2025-10-25,Electronics,Online,3,178.39,0.0652,166.76,0
C00028,C00028-O015,2025-11-08,Fashion,Online,2,147.49,0.1163,130.33,0
C00028,C00028-O016,2025-12-02,Electronics,Online,7,251.2,0.0915,228.21,0
C00028,C00028-O006,2025-12-31,Home,Online,2,197.88,0.0965,178.79,0
C00028,C00028-O003,2026-01-15,Home,Store,3,181.39,0.3938,109.96,0
C00028,C00028-O002,2026-02-11,Electronics,Online,2,111.34,0.0942,100.85,0
C00028,C00028-O019,2026-02-14,Sports,Store,1,210.61,0.0379,202.64,0
C00028,C00028-O007,2026-02-18,Fashion,Online,5,214.34,0.1543,181.26,0
C00028,C00028-O014,2026-02-21,Electronics,Store,2,163.99,0.0318,158.78,0
C00028,C00028-O005,2026-03-09,Electronics,Store,2,247.36,0.1983,198.32,0
C00028,C00028-O020,2026-03-15,Electronics,Online,2,104.03,0.0979,93.84,0
C00029,C00029-O002,2025-07-29,Beauty,Store,5,247.88,0.0849,226.84,0
C00029,C00029-O005,2025-10-03,Beauty,Store,2,252.59,0.0692,235.1,0
C00029,C00029-O011,2025-10-13,Beauty,Store,3,120.68,0.1381,104.02,0
C00029,C00029-O012,2025-10-26,Electronics,Store,1,175.46,0.1165,155.02,0
C00029,C00029-O009,2025-11-04,Sports,Store,4,126.37,0.2225,98.25,0
C00029,C00029-O020,2025-11-05,Home,Online,1,180.71,0.0113,178.67,0
C00029,C00029-O006,2025-11-06,Beauty,Online,2,248.95,0.0641,232.99,1
C00029,C00029-O008,2025-11-09,Fashion,Store,4,197.4,0.1669,164.45,0
C00029,C00029-O022,2025-11-10,Sports,Store,1,193.92,0.1421,166.36,0
C00029,C00029-O003,2025-11-22,Fashion,Online,4,152.55,0.306,105.86,0
C00029,C00029-O023,2025-12-11,Fashion,Online,3,249.36,0.0225,243.76,0
C00029,C00029-O019,2025-12-12,Sports,Online,2,139.16,0.0465,132.69,0
C00029,C00029-O014,2025-12-15,Electronics,Online,4,151.16,0.1109,134.4,0
C00029,C00029-O017,2025-12-15,Fashion,Store,2,194.95,0.0896,177.49,0
C00029,C00029-O015,2025-12-20,Electronics,Store,1,184.03,0.1758,151.68,0
C00029,C00029-O016,2025-12-23,Fashion,Online,3,119.5,0.0206,117.04,0
C00029,C00029-O004,2025-12-29,Electronics,Online,3,202.48,0.0152,199.41,0
C00029,C00029-O010,2026-01-15,Grocery,Store,3,126.93,0.0449,121.23,0
C00029,C00029-O021,2026-02-02,Sports,Store,4,212.24,0.0699,197.4,0
C00029,C00029-O007,2026-02-08,Electronics,Store,3,143.46,0.1663,119.6,1
C00029,C00029-O018,2026-02-13,Sports,Online,2,235.41,0.1381,202.9,0
C00029,C00029-O001,2026-02-24,Electronics,Store,3,171.71,0.0307,166.44,0
C00029,C00029-O013,2026-02-24,Beauty,Store,1,135.03,0.0707,125.49,0
C00029,C00029-O024,2026-03-14,Home,Store,2,165.0,0.0785,152.05,0
C00030,C00030-O008,2025-08-04,Fashion,Online,3,97.26,0.4782,50.75,1
C00030,C00030-O006,2025-08-12,Fashion,Online,6,80.21,0.614,30.96,0
C00030,C00030-O004,2025-09-03,Grocery,Online,3,91.0,0.65,31.85,0
C00030,C00030-O001,2025-10-03,Grocery,Store,3,60.94,0.5522,27.29,0
C00030,C00030-O009,2025-10-20,Fashion,Online,1,114.62,0.2212,89.26,0
C00030,C00030-O005,2025-12-07,Fashion,Online,2,69.17,0.3801,42.88,0
C00030,C00030-O007,2025-12-11,Sports,Online,3,67.55,0.5911,27.62,0
C00030,C00030-O003,2025-12-18,Fashion,Online,3,118.05,0.3797,73.22,0
C00030,C00030-O010,2025-12-25,Grocery,Online,3,115.76,0.4494,63.74,0
C00030,C00030-O002,2026-02-01,Fashion,Online,3,108.17,0.65,37.86,0
C00030,C00030-O011,2026-02-25,Beauty,Online,4,53.67,0.4177,31.25,0
C00031,C00031-O006,2025-07-09,Home,Online,3,83.78,0.363,53.36,0
C00031,C00031-O003,2025-07-18,Sports,Online,1,98.05,0.304,68.24,0
C00031,C00031-O002,2025-08-18,Fashion,Online,5,205.28,0.4088,121.35,0
C00031,C00031-O001,2025-08-30,Home,Online,1,81.97,0.5002,40.96,0
C00031,C00031-O009,2025-09-01,Beauty,Online,2,58.37,0.4631,31.34,0
C00031,C00031-O008,2025-10-04,Home,Online,5,62.32,0.2581,46.24,0
C00031,C00031-O007,2025-10-06,Grocery,Online,2,53.14,0.1622,44.52,0
C00031,C00031-O010,2025-11-11,Home,Online,2,62.65,0.3716,39.36,0
C00031,C00031-O005,2025-12-22,Home,Online,1,66.42,0.3341,44.23,0
C00031,C00031-O004,2026-01-05,Beauty,Online,3,135.53,0.4475,74.88,0
C00031,C00031-O011,2026-02-03,Grocery,Online,3,114.69,0.5885,47.2,0
C00032,C00032-O004,2025-04-06,Beauty,Online,2,51.65,0.2461,38.94,0
C00032,C00032-O001,2025-04-23,Grocery,Online,1,77.33,0.2827,55.47,0
C00032,C00032-O002,2025-05-12,Fashion,Store,3,84.32,0.3736,52.82,0
C00032,C00032-O003,2025-06-12,Beauty,Store,1,45.58,0.2374,34.76,0
C00032,C00032-O005,2025-08-05,Grocery,Online,1,65.43,0.3936,39.68,1
C00033,C00033-O005,2025-04-29,Fashion,Online,3,109.58,0.1031,98.28,0
C00033,C00033-O006,2025-08-07,Fashion,Online,1,256.74,0.2942,181.2,0
C00033,C00033-O017,2025-08-22,Home,Online,2,100.29,0.2578,74.44,0
C00033,C00033-O008,2025-08-26,Electronics,Online,1,92.11,0.1324,79.92,0
C00033,C00033-O016,2025-09-13,Sports,Online,3,165.76,0.2006,132.51,0
C00033,C00033-O012,2025-09-20,Home,Store,1,170.6,0.1043,152.81,0
C00033,C00033-O002,2025-09-28,Fashion,Online,1,76.84,0.119,67.7,0
C00033,C00033-O009,2025-10-19,Sports,Online,3,109.53,0.2114,86.37,1
C00033,C00033-O011,2025-10-25,Beauty,Store,3,119.98,0.1401,103.17,0
