customer_id,latent_persona,tenure_months,signup_date,support_ticket_bias,order_count,total_spend,avg_order_value,avg_discount_rate,return_rate,online_order_share,unique_categories,active_months,total_units,last_order_date,first_order_date,recency_days,purchase_frequency_per_month,revenue_per_month,active_month_ratio,avg_units_per_order,support_tickets,cluster_id,segment_name
C00011,Loyal Growth,25,2024-02-25,0,14,1352.63,96.6164,0.2216,0.0714,0.7857,6,9,24,2026-02-24,2025-05-08,30,0.56,54.1052,0.36,1.7143,0,0,Growth Loyalists
C00012,Dormant,21,2024-06-26,2,5,187.13,37.426,0.2682,0.2,0.4,4,3,17,2025-10-23,2025-04-19,154,0.2381,8.911,0.1429,3.4,4,1,Dormant
C00013,Discount-Led,13,2025-02-24,1,8,320.18,40.0225,0.4878,0.0,0.75,3,5,23,2026-02-27,2025-06-09,27,0.6154,24.6292,0.3846,2.875,1,2,Discount-Driven
C00014,Dormant,9,2025-06-26,1,4,146.45,36.6125,0.2782,0.25,0.25,4,2,14,2025-07-23,2025-06-27,246,0.4444,16.2722,0.2222,3.5,3,1,Dormant
C00015,High-Value At Risk,34,2023-05-28,1,14,2355.2,168.2286,0.2016,0.2143,0.6429,4,6,33,2025-11-24,2025-04-04,122,0.4118,69.2706,0.1765,2.3571,2,4,High-Value At Risk
C00016,Loyal Growth,11,2025-04-26,0,11,1150.96,104.6327,0.2159,0.0,0.7273,5,7,33,2026-03-18,2025-07-14,8,1.0,104.6327,0.6364,3.0,0,3,Champions
C00017,High-Value At Risk,13,2025-02-24,2,8,1426.43,178.3038,0.2244,0.0,0.375,3,4,24,2025-10-04,2025-04-10,173,0.6154,109.7254,0.3077,3.0,4,4,High-Value At Risk
C00018,Champions,18,2024-09-25,0,9,1235.87,137.3189,0.1555,0.1111,0.3333,3,6,21,2026-03-21,2025-08-12,5,0.5,68.6594,0.3333,2.3333,0,0,Growth Loyalists
C00019,Dormant,14,2025-01-25,0,4,227.49,56.8725,0.3267,0.25,0.5,2,3,5,2025-09-01,2025-04-07,206,0.2857,16.2493,0.2143,1.25,4,1,Dormant
C00020,Discount-Led,14,2025-01-25,1,11,435.97,39.6336,0.4912,0.0,0.7273,5,6,25,2026-02-16,2025-06-19,38,0.7857,31.1407,0.4286,2.2727,1,2,Discount-Driven
C00021,Discount-Led,21,2024-06-26,1,10,542.49,54.249,0.4364,0.1,0.8,5,6,29,2025-12-26,2025-04-21,90,0.4762,25.8329,0.2857,2.9,1,2,Discount-Driven
C00022,Loyal Growth,26,2024-01-26,0,15,1606.01,107.0673,0.2223,0.1333,0.8667,4,9,48,2026-03-20,2025-06-28,6,0.5769,61.7696,0.3462,3.2,0,0,Growth Loyalists
C00023,Dormant,6,2025-09-25,1,2,146.1,73.05,0.2913,0.0,0.5,2,2,5,2025-10-01,2025-09-25,176,0.3333,24.35,0.3333,2.5,1,1,Dormant
C00024,Dormant,7,2025-08-26,3,3,91.24,30.4133,0.2974,0.0,0.6667,3,2,10,2025-09-28,2025-08-28,179,0.4286,13.0343,0.2857,3.3333,5,1,Dormant
C00025,Discount-Led,10,2025-05-26,0,11,580.2,52.7455,0.4194,0.2727,0.7273,6,6,26,2026-01-31,2025-06-27,54,1.1,58.02,0.6,2.3636,0,3,Champions
C00026,Loyal Growth,28,2023-11-26,0,15,1423.2,94.88,0.235,0.0,0.8667,5,7,34,2026-03-13,2025-08-05,13,0.5357,50.8286,0.25,2.2667,0,0,Growth Loyalists
C00027,High-Value At Risk,13,2025-02-24,3,17,2727.1,160.4176,0.2463,0.1176,0.2941,6,4,58,2025-11-21,2025-04-04,125,1.3077,209.7769,0.3077,3.4118,3,4,High-Value At Risk
C00028,Champions,22,2024-05-27,1,20,3371.51,168.5755,0.0996,0.1,0.6,5,11,55,2026-03-15,2025-05-31,11,0.9091,153.2505,0.5,2.75,1,0,Growth Loyalists
C00029,Champions,27,2023-12-27,1,24,3909.14,162.8808,0.1001,0.0833,0.375,6,7,63,2026-03-14,2025-07-29,12,0.8889,144.783,0.2593,2.625,1,0,Growth Loyalists
C00030,Discount-Led,16,2024-11-25,0,11,506.68,46.0618,0.4894,0.0909,0.9091,4,5,34,2026-02-25,2025-08-04,29,0.6875,31.6675,0.3125,3.0909,0,2,Discount-Driven
C00031,Discount-Led,21,2024-06-26,0,11,611.68,55.6073,0.3819,0.0,1.0,5,8,28,2026-02-03,2025-07-09,51,0.5238,29.1276,0.381,2.5455,1,2,Discount-Driven
C00032,Dormant,15,2024-12-25,0,5,221.67,44.334,0.3067,0.2,0.6,3,4,8,2025-08-05,2025-04-06,233,0.3333,14.778,0.2667,1.6,4,1,Dormant
C00033,Loyal Growth,14,2025-01-25,0,18,1926.08,107.0044,0.1759,0.1111,0.8333,5,8,49,2026-03-12,2025-04-29,14,1.2857,137.5771,0.5714,2.7222,1,3,Champions
C00034,Loyal Growth,13,2025-02-24,2,17,1672.4,98.3765,0.2101,0.1765,0.7647,5,8,54,2026-03-12,2025-06-21,14,1.3077,128.6462,0.6154,3.1765,3,3,Champions
C00035,High-Value At Risk,28,2023-11-26,4,10,2111.37,211.137,0.2334,0.0,0.5,3,6,22,2025-11-07,2025-03-29,139,0.3571,75.4061,0.2143,2.2,6,4,High-Value At Risk
C00036,Loyal Growth,17,2024-10-26,0,12,998.15,83.1792,0.2196,0.0833,0.75,6,7,40,2026-02-25,2025-05-27,29,0.7059,58.7147,0.4118,3.3333,1,0,Growth Loyalists
C00037,Champions,21,2024-06-26,0,15,2539.72,169.3147,0.1257,0.0,0.5333,6,8,34,2026-03-22,2025-06-30,4,0.7143,120.939,0.381,2.2667,0,0,Growth Loyalists
C00038,High-Value At Risk,23,2024-04-26,3,12,1770.38,147.5317,0.2121,0.25,0.5,5,4,33,2025-10-29,2025-04-03,148,0.5217,76.973,0.1739,2.75,7,4,High-Value At Risk
C00039,Loyal Growth,28,2023-11-26,0,12,1169.77,97.4808,0.2454,0.25,0.6667,6,8,37,2026-02-27,2025-06-20,27,0.4286,41.7775,0.2857,3.0833,1,0,Growth Loyalists
C00040,Discount-Led,13,2025-02-24,0,5,205.93,41.186,0.4963,0.0,0.8,3,5,18,2026-02-04,2025-06-09,50,0.3846,15.8408,0.3846,3.6,0,2,Discount-Driven
C00041,High-Value At Risk,19,2024-08-26,2,15,2959.38,197.292,0.1866,0.2667,0.4667,5,5,27,2025-12-01,2025-04-09,115,0.7895,155.7568,0.2632,1.8,3,4,High-Value At Risk
C00042,Dormant,8,2025-07-26,2,2,87.1,43.55,0.1987,0.0,0.5,2,2,8,2025-10-11,2025-07-29,166,0.25,10.8875,0.25,4.0,4,1,Dormant
C00043,Discount-Led,16,2024-11-25,2,8,344.79,43.0988,0.4992,0.125,1.0,5,4,18,2026-01-05,2025-06-03,80,0.5,21.5494,0.25,2.25,3,2,Discount-Driven
C00044,Loyal Growth,25,2024-02-25,0,14,1464.76,104.6257,0.2656,0.0714,0.7857,6,8,37,2026-03-01,2025-05-21,25,0.56,58.5904,0.32,2.6429,0,0,Growth Loyalists
C00045,Dormant,17,2024-10-26,2,1,47.06,47.06,0.1797,0.0,1.0,1,1,1,2025-10-19,2025-10-19,158,0.0588,2.7682,0.0588,1.0,4,1,Dormant
C00046,Discount-Led,24,2024-03-27,0,8,487.07,60.8838,0.3721,0.125,0.375,6,7,18,2026-02-25,2025-05-25,29,0.3333,20.2946,0.2917,2.25,0,2,Discount-Driven
C00047,Loyal Growth,21,2024-06-26,1,14,1443.64,103.1171,0.21,0.0714,0.9286,4,8,36,2026-02-25,2025-05-10,29,0.6667,68.7448,0.381,2.5714,1,0,Growth Loyalists
C00048,Loyal Growth,10,2025-05-26,0,15,1332.68,88.8453,0.2484,0.0,0.8667,5,6,43,2026-03-06,2025-09-16,20,1.5,133.268,0.6,2.8667,0,3,Champions
C00049,Discount-Led,13,2025-02-24,1,8,350.31,43.7888,0.5229,0.25,0.75,5,7,15,2026-03-03,2025-06-02,23,0.6154,26.9469,0.5385,1.875,3,2,Discount-Driven
C00050,Champions,31,2023-08-27,0,11,2101.99,191.09,0.0975,0.0909,0.5455,3,8,32,2026-03-14,2025-05-26,12,0.3548,67.8061,0.2581,2.9091,0,0,Growth Loyalists
C00051,Loyal Growth,18,2024-09-25,1,16,1661.83,103.8644,0.2241,0.0625,0.8125,4,9,37,2026-03-06,2025-07-08,20,0.8889,92.3239,0.5,2.3125,1,3,Champions
C00052,Champions,16,2024-11-25,1,16,2253.35,140.8344,0.1451,0.0625,0.375,6,8,46,2026-03-20,2025-07-12,6,1.0,140.8344,0.5,2.875,2,0,Growth Loyalists
C00053,Discount-Led,22,2024-05-27,0,5,241.44,48.288,0.4678,0.0,1.0,4,5,10,2026-02-01,2025-06-24,53,0.2273,10.9745,0.2273,2.0,0,2,Discount-Driven
C00054,Discount-Led,17,2024-10-26,0,10,572.62,57.262,0.4295,0.3,0.8,5,9,33,2026-02-09,2025-04-21,45,0.5882,33.6835,0.5294,3.3,1,2,Discount-Driven
C00055,Discount-Led,15,2024-12-25,1,7,406.27,58.0386,0.4659,0.1429,0.8571,5,6,22,2026-03-05,2025-05-23,21,0.4667,27.0847,0.4,3.1429,1,2,Discount-Driven
C00056,Discount-Led,21,2024-06-26,3,4,143.34,35.835,0.563,0.0,0.75,3,4,6,2026-01-14,2025-06-16,71,0.1905,6.8257,0.1905,1.5,3,1,Dormant
C00057,High-Value At Risk,35,2023-04-27,2,12,2155.82,179.6517,0.2373,0.1667,0.5,5,4,28,2025-09-28,2025-04-06,179,0.3429,61.5949,0.1143,2.3333,7,4,High-Value At Risk
C00058,Discount-Led,18,2024-09-25,1,8,352.19,44.0238,0.4606,0.125,0.625,5,6,16,2026-02-13,2025-07-09,41,0.4444,19.5661,0.3333,2.0,2,2,Discount-Driven
C00059,Champions,21,2024-06-26,1,15,2149.67,143.3113,0.159,0.0,0.4667,5,6,47,2026-03-20,2025-07-27,6,0.7143,102.3652,0.2857,3.1333,2,0,Growth Loyalists
C00060,Champions,27,2023-12-27,0,21,3098.99,147.571,0.0996,0.0952,0.4286,5,7,53,2026-03-20,2025-08-19,6,0.7778,114.7774,0.2593,2.5238,1,0,Growth Loyalists
C00061,Discount-Led,23,2024-04-26,0,10,533.44,53.344,0.4213,0.0,0.9,6,4,25,2025-12-26,2025-05-31,90,0.4348,23.193,0.1739,2.5,0,2,Discount-Driven
C00062,High-Value At Risk,21,2024-06-26,0,13,2504.42,192.6477,0.2139,0.1538,0.4615,5,4,32,2025-11-21,2025-04-06,125,0.619,119.2581,0.1905,2.4615,0,4,High-Value At Risk
C00063,Discount-Led,22,2024-05-27,1,9,398.28,44.2533,0.4884,0.1111,0.7778,5,7,20,2026-01-25,2025-04-13,60,0.4091,18.1036,0.3182,2.2222,1,2,Discount-Driven
C00064,Discount-Led,21,2024-06-26,0,8,334.81,41.8512,0.4922,0.125,0.5,5,5,19,2026-01-15,2025-05-22,70,0.381,15.9433,0.2381,2.375,2,2,Discount-Driven
C00065,Discount-Led,20,2024-07-26,0,11,482.31,43.8464,0.4993,0.0909,0.9091,5,7,28,2026-01-07,2025-06-12,78,0.55,24.1155,0.35,2.5455,0,2,Discount-Driven
C00066,High-Value At Risk,33,2023-06-27,3,10,1686.58,168.658,0.2472,0.4,0.5,6,5,29,2025-12-17,2025-04-15,99,0.303,51.1085,0.1515,2.9,5,4,High-Value At Risk
C00067,High-Value At Risk,27,2023-12-27,2,13,2215.81,170.4469,0.1778,0.2308,0.6154,4,7,36,2025-12-24,2025-04-06,92,0.4815,82.067,0.2593,2.7692,4,4,High-Value At Risk
C00068,Loyal Growth,22,2024-05-27,0,11,1253.07,113.9155,0.2209,0.0,0.6364,5,7,32,2026-03-12,2025-06-06,14,0.5,56.9577,0.3182,2.9091,0,0,Growth Loyalists
C00069,Champions,36,2023-03-28,0,14,2623.16,187.3686,0.1078,0.0,0.2857,6,7,37,2026-03-15,2025-07-16,11,0.3889,72.8656,0.1944,2.6429,0,0,Growth Loyalists
C00070,High-Value At Risk,25,2024-02-25,1,6,926.58,154.43,0.2073,0.0,0.1667,4,3,14,2025-11-05,2025-04-01,141,0.24,37.0632,0.12,2.3333,2,4,High-Value At Risk
C00071,Loyal Growth,19,2024-08-26,0,20,1980.16,99.008,0.223,0.15,0.75,6,9,45,2026-03-16,2025-06-15,10,1.0526,104.2189,0.4737,2.25,0,3,Champions
C00072,Loyal Growth,16,2024-11-25,1,19,1862.94,98.0495,0.2513,0.1053,0.8947,6,9,46,2026-03-15,2025-05-29,11,1.1875,116.4338,0.5625,2.4211,2,3,Champions
C00073,Dormant,9,2025-06-26,1,3,71.16,23.72,0.3305,0.0,1.0,2,3,5,2025-08-15,2025-06-30,223,0.3333,7.9067,0.3333,1.6667,4,1,Dormant
C00074,Loyal Growth,25,2024-02-25,2,17,1577.3,92.7824,0.2179,0.0588,0.7647,5,8,37,2026-03-12,2025-07-11,14,0.68,63.092,0.32,2.1765,2,0,Growth Loyalists
C00075,Champions,23,2024-04-26,0,13,2093.07,161.0054,0.1374,0.0769,0.6154,6,8,29,2026-03-22,2025-07-15,4,0.5652,91.003,0.3478,2.2308,0,0,Growth Loyalists
C00076,Loyal Growth,18,2024-09-25,0,18,1972.07,109.5594,0.228,0.0556,0.8333,6,8,51,2026-03-04,2025-04-22,22,1.0,109.5594,0.4444,2.8333,1,3,Champions
C00077,Loyal Growth,13,2025-02-24,2,9,757.27,84.1411,0.2792,0.0,1.0,5,7,33,2026-03-14,2025-05-01,12,0.6923,58.2515,0.5385,3.6667,2,3,Champions
C00078,Discount-Led,17,2024-10-26,1,4,212.7,53.175,0.4687,0.75,1.0,3,3,10,2026-01-06,2025-06-24,79,0.2353,12.5118,0.1765,2.5,4,1,Dormant
C00079,High-Value At Risk,25,2024-02-25,0,15,2726.74,181.7827,0.2248,0.0,0.4667,5,4,36,2025-09-18,2025-04-09,189,0.6,109.0696,0.16,2.4,0,4,High-Value At Risk
C00080,Discount-Led,23,2024-04-26,2,8,368.43,46.0538,0.4134,0.125,1.0,5,6,22,2026-01-29,2025-08-04,56,0.3478,16.0187,0.2609,2.75,2,2,Discount-Driven
C00081,Discount-Led,12,2025-03-27,1,11,515.46,46.86,0.4557,0.1818,0.9091,3,7,27,2026-01-24,2025-05-16,61,0.9167,42.955,0.5833,2.4545,3,2,Discount-Driven
C00082,Loyal Growth,11,2025-04-26,1,9,1059.06,117.6733,0.1948,0.2222,0.6667,4,7,22,2026-03-19,2025-06-07,7,0.8182,96.2782,0.6364,2.4444,1,3,Champions
C00083,Dormant,20,2024-07-26,1,1,67.22,67.22,0.1166,0.0,0.0,1,1,3,2025-09-10,2025-09-10,197,0.05,3.361,0.05,3.0,3,1,Dormant
C00084,Champions,27,2023-12-27,0,16,2572.63,160.7894,0.1035,0.0,0.5,6,7,42,2026-03-24,2025-07-02,2,0.5926,95.2826,0.2593,2.625,0,0,Growth Loyalists
C00085,Champions,19,2024-08-26,0,14,2187.87,156.2764,0.0965,0.0,0.5714,5,6,30,2026-03-23,2025-08-18,3,0.7368,115.1511,0.3158,2.1429,0,0,Growth Loyalists
C00086,Champions,36,2023-03-28,0,13,1893.87,145.6823,0.0848,0.0769,0.6154,5,8,28,2026-03-14,2025-08-06,12,0.3611,52.6075,0.2222,2.1538,0,0,Growth Loyalists
C00087,Discount-Led,16,2024-11-25,1,8,403.27,50.4088,0.4392,0.125,0.875,4,6,22,2026-01-26,2025-05-06,59,0.5,25.2044,0.375,2.75,1,2,Discount-Driven
C00088,High-Value At Risk,19,2024-08-26,6,7,1034.91,147.8443,0.2235,0.0,0.5714,4,5,18,2025-11-29,2025-04-21,117,0.3684,54.4689,0.2632,2.5714,6,4,High-Value At Risk
C00089,Champions,35,2023-04-27,0,18,2743.85,152.4361,0.1019,0.0,0.5,6,8,40,2026-03-20,2025-06-13,6,0.5143,78.3957,0.2286,2.2222,0,0,Growth Loyalists
C00090,High-Value At Risk,31,2023-08-27,5,13,2202.83,169.4485,0.1708,0.0769,0.5385,5,4,35,2025-10-07,2025-04-03,170,0.4194,71.059,0.129,2.6923,6,4,High-Value At Risk
C00091,Champions,34,2023-05-28,0,20,3411.83,170.5915,0.1055,0.0,0.45,5,8,52,2026-03-17,2025-07-05,9,0.5882,100.3479,0.2353,2.6,0,0,Growth Loyalists
C00092,Discount-Led,14,2025-01-25,0,9,382.33,42.4811,0.4241,0.1111,0.8889,6,6,22,2025-12-29,2025-06-14,87,0.6429,27.3093,0.4286,2.4444,1,2,Discount-Driven
C00093,High-Value At Risk,14,2025-01-25,0,9,1437.94,159.7711,0.1878,0.1111,0.8889,5,6,18,2025-12-01,2025-04-17,115,0.6429,102.71,0.4286,2.0,2,4,High-Value At Risk
C00094,Loyal Growth,11,2025-04-26,1,13,1077.59,82.8915,0.2618,0.0769,0.9231,6,7,28,2026-03-06,2025-06-13,20,1.1818,97.9627,0.6364,2.1538,1,3,Champions
C00095,Loyal Growth,13,2025-02-24,1,17,1542.56,90.7388,0.1964,0.0,0.8235,6,10,39,2026-02-25,2025-05-21,29,1.3077,118.6585,0.7692,2.2941,1,3,Champions
C00096,Discount-Led,23,2024-04-26,0,5,160.99,32.198,0.5212,0.2,1.0,4,4,12,2026-03-03,2025-09-02,23,0.2174,6.9996,0.1739,2.4,5,2,Discount-Driven
C00097,Loyal Growth,26,2024-01-26,1,11,1085.35,98.6682,0.2776,0.0,0.8182,5,8,30,2026-03-12,2025-04-25,14,0.4231,41.7442,0.3077,2.7273,1,0,Growth Loyalists
C00098,Champions,20,2024-07-26,0,10,1396.38,139.638,0.1407,0.1,0.7,6,5,21,2026-03-15,2025-07-04,11,0.5,69.819,0.25,2.1,0,0,Growth Loyalists
C00099,Champions,29,2023-10-27,1,19,3029.14,159.4284,0.1254,0.0,0.6316,5,7,54,2026-03-16,2025-08-21,10,0.6552,104.4531,0.2414,2.8421,1,0,Growth Loyalists
C00100,Dormant,21,2024-06-26,0,2,61.59,30.795,0.3946,0.0,0.5,2,2,5,2025-07-15,2025-04-02,254,0.0952,2.9329,0.0952,2.5,4,1,Dormant
C00101,Dormant,12,2025-03-27,0,7,258.53,36.9329,0.3834,0.0,0.1429,4,3,13,2025-05-02,2025-03-27,328,0.5833,21.5442,0.25,1.8571,3,1,Dormant
C00102,Discount-Led,10,2025-05-26,0,5,212.94,42.588,0.4046,0.0,0.6,4,4,16,2026-02-09,2025-08-10,45,0.5,21.294,0.4,3.2,1,2,Discount-Driven
C00103,Loyal Growth,12,2025-03-27,1,13,1391.52,107.04,0.2179,0.0,0.8462,5,9,30,2026-03-05,2025-05-18,21,1.0833,115.96,0.75,2.3077,1,3,Champions
C00104,Dormant,15,2024-12-25,1,3,94.83,31.61,0.4749,0.3333,0.6667,3,3,5,2025-10-07,2025-04-06,170,0.2,6.322,0.2,1.6667,5,1,Dormant
C00105,Discount-Led,16,2024-11-25,3,13,747.27,57.4823,0.4407,0.0,0.8462,5,8,31,2025-12-22,2025-04-20,94,0.8125,46.7044,0.5,2.3846,3,2,Discount-Driven
C00106,Discount-Led,21,2024-06-26,0,14,633.89,45.2779,0.4321,0.0714,1.0,6,7,33,2026-02-12,2025-06-04,42,0.6667,30.1852,0.3333,2.3571,1,2,Discount-Driven
C00107,High-Value At Risk,23,2024-04-26,3,4,540.55,135.1375,0.2223,0.25,0.75,3,3,11,2025-10-21,2025-04-11,156,0.1739,23.5022,0.1304,2.75,8,1,Dormant
C00108,Loyal Growth,14,2025-01-25,1,13,1325.93,101.9946,0.2012,0.0,0.7692,5,8,34,2026-03-07,2025-05-24,19,0.9286,94.7093,0.5714,2.6154,2,3,Champions
C00109,Champions,28,2023-11-26,1,13,1943.84,149.5262,0.1014,0.0769,0.6154,4,8,39,2026-03-19,2025-07-30,7,0.4643,69.4229,0.2857,3.0,1,0,Growth Loyalists
C00110,Dormant,11,2025-04-26,1,9,342.02,38.0022,0.3571,0.1111,0.6667,5,5,20,2025-10-06,2025-04-27,171,0.8182,31.0927,0.4545,2.2222,3,2,Discount-Driven
C00111,High-Value At Risk,31,2023-08-27,2,11,2398.74,218.0673,0.2242,0.2727,0.0909,4,6,19,2025-11-10,2025-03-31,136,0.3548,77.3787,0.1935,1.7273,6,4,High-Value At Risk
C00112,Loyal Growth,23,2024-04-26,0,11,1328.25,120.75,0.2147,0.0909,1.0,6,7,32,2026-03-14,2025-05-03,12,0.4783,57.75,0.3043,2.9091,2,0,Growth Loyalists
C00113,Loyal Growth,21,2024-06-26,1,21,2240.76,106.7029,0.2376,0.1429,0.9048,6,8,46,2026-02-26,2025-05-01,28,1.0,106.7029,0.381,2.1905,1,3,Champions
C00114,Discount-Led,16,2024-11-25,0,9,364.03,40.4478,0.4859,0.0,0.8889,5,6,29,2026-02-17,2025-05-30,37,0.5625,22.7519,0.375,3.2222,0,2,Discount-Driven
C00115,Champions,21,2024-06-26,0,21,2977.79,141.7995,0.1129,0.0476,0.381,6,7,44,2026-03-22,2025-07-27,4,1.0,141.7995,0.3333,2.0952,0,0,Growth Loyalists
C00116,Dormant,22,2024-05-27,1,4,123.11,30.7775,0.2398,0.25,0.5,2,3,7,2025-07-28,2025-04-19,241,0.1818,5.5959,0.1364,1.75,4,1,Dormant
C00117,Discount-Led,24,2024-03-27,1,10,450.48,45.048,0.4475,0.1,0.8,5,7,23,2026-01-17,2025-04-28,68,0.4167,18.77,0.2917,2.3,1,2,Discount-Driven
C00118,Discount-Led,9,2025-06-26,1,8,458.56,57.32,0.4247,0.0,0.875,4,5,14,2025-12-28,2025-08-27,88,0.8889,50.9511,0.5556,1.75,2,2,Discount-Driven
C00119,High-Value At Risk,26,2024-01-26,3,13,2033.1,156.3923,0.2651,0.2308,0.3846,5,5,36,2025-11-19,2025-04-14,127,0.5,78.1962,0.1923,2.7692,4,4,High-Value At Risk
C00120,Discount-Led,24,2024-03-27,2,12,498.71,41.5592,0.409,0.0833,0.6667,6,9,36,2026-03-07,2025-06-21,19,0.5,20.7796,0.375,3.0,2,2,Discount-Driven
C00121,Discount-Led,23,2024-04-26,2,8,369.01,46.1262,0.4958,0.125,0.875,4,7,24,2026-03-02,2025-05-27,24,0.3478,16.0439,0.3043,3.0,3,2,Discount-Driven
C00122,Discount-Led,15,2024-12-25,0,7,330.19,47.17,0.4684,0.1429,1.0,5,6,21,2026-02-15,2025-06-02,39,0.4667,22.0127,0.4,3.0,0,2,Discount-Driven
C00123,Champions,25,2024-02-25,2,19,2782.46,146.4453,0.126,0.0526,0.5789,6,9,58,2026-03-23,2025-05-01,3,0.76,111.2984,0.36,3.0526,2,0,Growth Loyalists
C00124,Loyal Growth,22,2024-05-27,0,8,740.25,92.5312,0.2597,0.0,0.625,3,7,16,2026-02-27,2025-06-26,27,0.3636,33.6477,0.3182,2.0,0,0,Growth Loyalists
C00125,Champions,29,2023-10-27,0,14,2619.02,187.0729,0.0929,0.0,0.5714,6,7,33,2026-03-21,2025-05-20,5,0.4828,90.311,0.2414,2.3571,0,0,Growth Loyalists
C00126,High-Value At Risk,32,2023-07-28,2,10,1596.07,159.607,0.1911,0.1,0.4,3,4,27,2025-10-09,2025-04-13,168,0.3125,49.8772,0.125,2.7,2,4,High-Value At Risk
C00127,Loyal Growth,21,2024-06-26,0,19,2024.77,106.5668,0.2506,0.0,0.7368,6,10,61,2026-03-01,2025-05-26,25,0.9048,96.4176,0.4762,3.2105,0,3,Champions
C00128,Champions,31,2023-08-27,0,15,2214.28,147.6187,0.1072,0.0667,0.3333,4,9,35,2026-03-14,2025-07-10,12,0.4839,71.4284,0.2903,2.3333,0,0,Growth Loyalists
C00129,Champions,23,2024-04-26,2,20,3550.34,177.517,0.0997,0.0,0.6,5,8,49,2026-03-19,2025-08-10,7,0.8696,154.3626,0.3478,2.45,2,0,Growth Loyalists
C00130,Discount-Led,18,2024-09-25,0,10,500.16,50.016,0.4435,0.0,0.9,5,7,26,2026-01-10,2025-05-12,75,0.5556,27.7867,0.3889,2.6,1,2,Discount-Driven
C00131,Champions,18,2024-09-25,0,15,2614.84,174.3227,0.0945,0.0667,0.6,6,8,29,2026-03-19,2025-06-24,7,0.8333,145.2689,0.4444,1.9333,0,0,Growth Loyalists
C00132,Dormant,22,2024-05-27,0,6,239.27,39.8783,0.3116,0.0,0.5,3,4,20,2025-08-18,2025-03-29,220,0.2727,10.8759,0.1818,3.3333,2,1,Dormant
C00133,Discount-Led,14,2025-01-25,2,11,452.77,41.1609,0.4944,0.0,0.9091,4,6,27,2026-03-03,2025-05-15,23,0.7857,32.3407,0.4286,2.4545,2,2,Discount-Driven
C00134,Loyal Growth,15,2024-12-25,1,10,1104.41,110.441,0.2041,0.0,0.7,5,6,18,2026-03-03,2025-05-02,23,0.6667,73.6273,0.4,1.8,1,0,Growth Loyalists
C00135,Discount-Led,20,2024-07-26,1,4,192.86,48.215,0.3627,0.0,1.0,3,2,8,2025-12-24,2025-09-13,92,0.2,9.643,0.1,2.0,1,1,Dormant
C00136,Champions,23,2024-04-26,0,15,2718.71,181.2473,0.1099,0.0,0.4,6,7,32,2026-03-20,2025-06-09,6,0.6522,118.2048,0.3043,2.1333,0,0,Growth Loyalists
C00137,Dormant,10,2025-05-26,0,3,48.47,16.1567,0.4151,0.0,0.3333,3,2,13,2025-06-11,2025-05-27,288,0.3,4.847,0.2,4.3333,6,1,Dormant
C00138,High-Value At Risk,19,2024-08-26,2,11,1532.84,139.3491,0.3029,0.0909,0.7273,5,5,26,2025-11-14,2025-04-08,132,0.5789,80.6758,0.2632,2.3636,2,4,High-Value At Risk
